sido_short,sigungu,registration,total_chargers,fast_chargers,slow_chargers,apt_charger_count,apt_charger_ratio,log_reg,expected_total,gap_pct_total,expected_fast,gap_pct_fast,expected_slow,gap_pct_slow,n_reported,ok_rate,broken_rate,busy_rate,n_kw_reported,avg_kw,log_pop,apt_ratio,old_housing_ratio,parking_ratio,subsidy_receipt_rate,budget_exec_rate,is_deficit
경남,남해군,644.0,164,46,118,11,0.06707317073170732,6.467698726104354,206.2647087786456,-20.490518726595287,51.901993237243424,-11.371419225202928,141.25542828817092,-16.4633873331425,285.0,90.87719298245615,2.807017543859649,11.583011583011583,29.0,141.3793103448276,10.57159893662485,10.1,45.55815485996704,69.4,82.0,81.0,0.0
경남,밀양시,1548.0,474,95,379,227,0.47890295358649787,7.344719054149673,528.0222617719586,-10.231057605538918,85.99741404484978,10.468437981699253,410.2601231508406,-7.6195860593907145,688.0,90.98837209302324,3.6337209302325584,10.223642172523961,29.0,137.93103448275863,11.53795948268987,39.2,33.982841382547974,81.7,101.0,100.0,0.0
경남,사천시,1240.0,415,77,338,201,0.4843373493975904,7.122866658599083,416.28085062166105,-0.3076890564983392,75.6851346431014,1.7372835010454057,313.274050093095,7.892753932078711,774.0,87.33850129198967,8.656330749354005,9.911242603550296,48.0,134.375,11.601101163873954,54.0,30.062396956246033,82.3,105.0,105.0,0.0
경남,산청군,719.0,131,46,85,20,0.15267175572519084,6.577861357721047,232.11457418346845,-43.56235472898193,55.300684515605965,-16.81838949566943,161.49885083745014,-47.36804654693601,435.0,34.25287356321839,62.98850574712643,14.093959731543624,23.0,121.73913043478261,10.388379794275615,9.6,33.78289000718907,80.5,51.0,51.0,1.0
경남,양산시,4698.0,1787,166,1621,1443,0.8074986010072748,8.454892165218858,1735.4229549434929,2.9720158368071514,162.9623372826562,1.8640274605751461,1582.0302838722496,2.4632724496503444,3773.0,90.93559501722767,6.0694407633183145,11.687554648790439,55.0,104.54545454545455,12.792828223489247,86.7,16.100034116884448,91.8,119.0,119.0,0.0
경남,의령군,376.0,57,33,24,3,0.05263157894736842,5.929589143389895,115.86457149819961,-50.80463401110864,38.07397753541245,-13.32662848448961,73.43295437361651,-67.31712593518792,162.0,91.35802469135803,1.2345679012345678,13.513513513513514,30.0,101.66666666666667,10.110867508670859,11.1,46.429510825982355,68.8,102.0,102.0,1.0
경남,진주시,5679.0,1658,222,1436,1105,0.6664656212303981,8.644530439877432,2126.5539573295982,-22.033485476097713,181.76355962424483,22.13669255759236,1992.2373732183742,-27.92023584618315,2980.0,90.30201342281879,4.798657718120805,13.043478260869565,85.0,140.0,12.754613041396906,65.3,31.514262932323337,81.6,110.0,106.0,0.0
경남,창녕군,905.0,220,61,159,58,0.2636363636363636,6.807934943699926,297.02631925408286,-25.932489567765494,63.13367099367,-3.3796086305260653,213.6215152960589,-25.569294937524777,421.0,89.31116389548693,4.513064133016627,8.77659574468085,31.0,122.58064516129032,10.964155646288093,22.3,41.33143228682891,78.4,99.0,74.0,1.0
경남,창원시 마산합포구,4637.0,788,61,727,571,0.7246192893401016,8.441822884391462,1711.2835270422345,-53.9526917925768,161.7406689981514,-62.285305002233414,1557.0924531057867,-53.31041528395304,1579.0,90.2469917669411,3.6732108929702343,11.368421052631579,16.0,100.0,12.091026486208657,68.1,32.16647249619381,78.8,102.0,100.0,1.0
경남,창원시 마산회원구,3015.0,671,56,615,448,0.6676602086438153,8.011355109161286,1078.8270170781443,-37.80281830378035,126.23494029202648,-55.63827267597068,922.6427763343403,-33.34364980958341,1288.0,90.6832298136646,2.950310559006211,9.931506849315069,18.0,141.66666666666666,12.094386610334446,71.4,36.859111169375986,78.4,102.0,100.0,1.0
